Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2013;;;;;;;;;;;;;;;;;;;;;;;;;;;
France métropolitaine - Communes ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mise en ligne le 10/10/2016       Découpage géographique au 01/01/2014;;;;;;;;;;;;;;;;;;;;;;;;;;;
©Insee       Sources : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code géographique;Libellé géographique;Nombre de ménages fiscaux;Nombre de personnes dans les ménages fiscaux;Médiane du niveau vie;Part des ménages fiscaux imposés;Taux de pauvreté-Ensemble;Taux de pauvreté-moins de 30 ans;Taux de pauvreté-30 à 39 ans ;Taux de pauvreté-40 à 49 ans;Taux de pauvreté-50 à 59 ans;Taux de pauvreté-60 à 74 ans;Taux de pauvreté-75 ans ou plus;Taux de pauvreté-propriétaires;Taux de pauvreté-locataires;Part des revenus d'activité;dont part des salaires, traitements ou chômage;dont part des revenus d'activités non salariées;Part des pensions, retraites et rentes;Part des revenus du patrimoine et autres revenus;Part de l'ensemble des prestations sociales;dont part des prestations familiales;dont part des minima sociaux;dont part des prestations logement;Part des impôts;Rapport inter-décile 9e décile/1er decile;1er décile du niveau de vie;9e décile du niveau de vie
CODGEO;LIBGEO;NBMENFISC13;NBPERSMENFISC13;MED13;PIMP13;TP6013;TP60AGE113;TP60AGE213;TP60AGE313;TP60AGE413;TP60AGE513;TP60AGE613;TP60TOL113;TP60TOL213;PRA13;PTSAC13;PBEN13;PPEN13;PPAT13;PPSOC13;PPFAM13;PPMINI13;PPLOGT13;PIMPOT13;RD13;D113;D913
01001;L'Abergement-Clémenciat;297;768,0;22130,0;;;;;;;;;;;;;;;;;;;;;;;
01002;L'Abergement-de-Varey;99;239,0;23213,0;;;;;;;;;;;;;;;;;;;;;;;
01004;Ambérieu-en-Bugey;6034;13599,0;19554,0;57,4;15,1;18,4;18,5;18,8;13,4;;;5,0;24,3;68,0;64,6;3,4;25,4;19,8;5,9;2,6;1,6;1,7;-19,1;3,2;10556,3;33343,9
01005;Ambérieux-en-Dombes;617;1693,0;22387,6;;;;;;;;;;;;;;;;;;;;;;;
01006;Ambléon;47;102,5;21871,7;;;;;;;;;;;;;;;;;;;;;;;
01007;Ambronay;1014;2568,5;21650,7;62,4;;;;;;;;;;76,4;73,2;3,2;26,2;8,2;4,1;2,6;0,7;0,8;-14,9;2,6;13400,0;34549,4
01008;Ambutrix;299;739,5;23669,5;;;;;;;;;;;;;;;;;;;;;;;
01009;Andert-et-Condon;140;341,0;21486,3;;;;;;;;;;;;;;;;;;;;;;;
01010;Anglefort;431;1051,0;21015,3;;;;;;;;;;;;;;;;;;;;;;;
01011;Apremont;137;371,0;22690,0;;;;;;;;;;;;;;;;;;;;;;;
01012;Aranc;140;322,5;20211,0;;;;;;;;;;;;;;;;;;;;;;;
01013;Arandas;63;141,0;19534,3;;;;;;;;;;;;;;;;;;;;;;;
01014;Arbent;1287;3492,0;19565,7;58,7;11,8;;;;;;;;22,5;72,9;71,1;1,8;27,2;12,1;4,9;2,6;1,1;1,2;-17,1;2,9;11569,1;34059,0
01015;Arbignieu;213;499,5;21587,1;;;;;;;;;;;;;;;;;;;;;;;
01016;Arbigny;166;442,0;20532,5;;;;;;;;;;;;;;;;;;;;;;;
01017;Argis;189;434,0;18644,8;;;;;;;;;;;;;;;;;;;;;;;
01019;Armix;;;;;;;;;;;;;;;;;;;;;;;;;;
01021;Ars-sur-Formans;483;1284,0;22960,7;;;;;;;;;;;;;;;;;;;;;;;
01022;Artemare;550;1190,5;18782,0;;;;;;;;;;;;;;;;;;;;;;;
01023;Asnières-sur-Saône;;;;;;;;;;;;;;;;;;;;;;;;;;
01024;Attignat;1215;3230,0;21300,6;66,9;6,3;;;;;;;;;80,3;76,3;4,0;23,2;8,4;4,0;2,9;0,5;0,7;-15,9;2,5;13364,3;33332,2
01025;Bâgé-la-Ville;1166;3221,0;21148,6;64,0;7,1;;;;;;;;;79,6;73,0;6,6;21,1;10,7;4,2;3,1;0,5;0,7;-15,6;2,5;13366,3;33206,5
01026;Bâgé-le-Châtel;360;797,0;20546,0;;;;;;;;;;;;;;;;;;;;;;;
01027;Balan;636;1757,5;22476,0;;;;;;;;;;;;;;;;;;;;;;;
01028;Baneins;219;578,5;22035,6;;;;;;;;;;;;;;;;;;;;;;;
01029;Beaupont;248;600,5;19184,0;;;;;;;;;;;;;;;;;;;;;;;
01030;Beauregard;351;871,5;19916,0;;;;;;;;;;;;;;;;;;;;;;;
01031;Bellignat;1536;3502,5;18541,7;52,7;16,2;;;;;;;;26,3;70,9;68,1;2,8;27,4;9,2;7,3;3,0;1,9;2,4;-14,8;3,1;10605,1;32864,5
01032;Béligneux;1134;3198,5;20256,0;60,4;8,1;;;;;;;;13,7;80,9;78,1;2,8;20,5;7,8;5,5;3,6;0,8;1,1;-14,7;2,7;12551,9;33923,3
01033;Bellegarde-sur-Valserine;4943;11275,0;19063,9;46,6;18,3;;20,8;20,5;20,4;15,0;;8,0;26,2;75,9;72,9;3,0;24,3;7,5;5,7;2,3;1,7;1,7;-13,4;4,0;9714,8;39261,0
01034;Belley;3887;8636,0;18549,0;52,3;17,3;;22,5;18,7;16,3;14,8;;5,9;27,6;65,9;60,5;5,4;30,7;12,3;6,8;2,8;2,0;1,9;-15,7;3,3;10037,0;33167,0
01035;Belleydoux;148;337,0;21729,7;;;;;;;;;;;;;;;;;;;;;;;
01036;Belmont-Luthézieu;241;552,0;20666,0;;;;;;;;;;;;;;;;;;;;;;;
01037;Bénonces;110;251,5;19788,3;;;;;;;;;;;;;;;;;;;;;;;
01038;Bény;296;739,0;20839,0;;;;;;;;;;;;;;;;;;;;;;;
01039;Béon;188;469,0;20048,0;;;;;;;;;;;;;;;;;;;;;;;
01040;Béréziat;182;480,0;20274,8;;;;;;;;;;;;;;;;;;;;;;;
01041;Bettant;318;755,0;21861,9;;;;;;;;;;;;;;;;;;;;;;;
01042;Bey;105;263,0;23768,0;;;;;;;;;;;;;;;;;;;;;;;
01043;Beynost;1723;4547,0;25327,1;75,7;5,0;;;;;;;;;78,2;71,5;6,7;26,0;12,9;2,8;1,8;0,4;0,5;-19,9;3,0;14597,0;43713,2
01044;Billiat;228;573,0;24782,8;;;;;;;;;;;;;;;;;;;;;;;
01045;Birieux;93;271,0;23901,7;;;;;;;;;;;;;;;;;;;;;;;
01046;Biziat;315;830,5;20972,5;;;;;;;;;;;;;;;;;;;;;;;
01047;Blyes;356;999,0;25184,0;;;;;;;;;;;;;;;;;;;;;;;
01049;La Boisse;1082;2928,0;24096,4;72,8;;;;;;;;;;79,2;76,0;3,2;24,3;10,8;3,0;2,2;0,5;0,4;-17,3;2,6;15150,5;38685,0
01050;Boissey;117;317,0;19179,5;;;;;;;;;;;;;;;;;;;;;;;
01051;Bolozon;;;;;;;;;;;;;;;;;;;;;;;;;;
01052;Bouligneux;120;297,0;24708,0;;;;;;;;;;;;;;;;;;;;;;;
01053;Bourg-en-Bresse;18380;37202,0;18088,0;53,7;19,3;26,9;23,7;24,9;16,8;13,1;8,4;5,0;28,6;66,2;62,3;3,9;32,7;9,9;7,5;2,5;2,5;2,5;-16,3;3,5;9668,0;33390,0
01054;Bourg-Saint-Christophe;468;1286,0;24336,7;;;;;;;;;;;;;;;;;;;;;;;
01056;Boyeux-Saint-Jérôme;144;335,5;17727,5;;;;;;;;;;;;;;;;;;;;;;;
01057;Boz;194;513,5;19870,4;;;;;;;;;;;;;;;;;;;;;;;
01058;Brégnier-Cordon;324;832,0;19369,4;;;;;;;;;;;;;;;;;;;;;;;
01059;Brénaz;;;;;;;;;;;;;;;;;;;;;;;;;;
01060;Brénod;233;563,0;21680,4;;;;;;;;;;;;;;;;;;;;;;;
01061;Brens;430;1192,5;22209,4;;;;;;;;;;;;;;;;;;;;;;;
01062;Bressolles;273;740,0;25964,4;;;;;;;;;;;;;;;;;;;;;;;
01063;Brion;213;520,0;23666,0;;;;;;;;;;;;;;;;;;;;;;;
01064;Briord;367;934,5;19868,3;;;;;;;;;;;;;;;;;;;;;;;
01065;Buellas;692;1788,5;23388,7;;;;;;;;;;;;;;;;;;;;;;;
01066;La Burbanche;;;;;;;;;;;;;;;;;;;;;;;;;;
01067;Ceignes;108;274,0;20545,2;;;;;;;;;;;;;;;;;;;;;;;
01068;Cerdon;295;684,5;19620,5;;;;;;;;;;;;;;;;;;;;;;;
01069;Certines;570;1462,0;22579,6;;;;;;;;;;;;;;;;;;;;;;;
01071;Cessy;1682;4371,5;35336,0;63,2;8,8;;;;;;;8,5;;96,4;93,7;2,7;11,9;8,7;1,2;0,7;0,2;0,3;-18,2;5,5;13208,8;72241,5
01072;Ceyzériat;1218;2919,0;22138,8;71,5;;;;;;;;;;75,4;69,9;5,5;27,1;12,0;3,6;2,2;0,6;0,8;-18,1;2,8;13428,0;38098,0
01073;Ceyzérieu;433;1015,0;21771,3;;;;;;;;;;;;;;;;;;;;;;;
01074;Chalamont;941;2290,5;20882,6;58,6;;;;;;;;;;81,0;76,1;4,9;21,9;8,8;4,6;2,6;0,8;1,1;-16,3;2,7;12694,0;33751,7
01075;Chaleins;439;1243,5;22893,6;;;;;;;;;;;;;;;;;;;;;;;
01076;Chaley;70;141,5;18523,0;;;;;;;;;;;;;;;;;;;;;;;
01077;Challes-la-Montagne;87;196,0;20540,4;;;;;;;;;;;;;;;;;;;;;;;
01078;Challex;483;1204,5;37584,7;;;;;;;;;;;;;;;;;;;;;;;
01079;Champagne-en-Valromey;290;640,5;20196,0;;;;;;;;;;;;;;;;;;;;;;;
01080;Champdor;189;464,5;21273,6;;;;;;;;;;;;;;;;;;;;;;;
01081;Champfromier;300;706,0;23068,0;;;;;;;;;;;;;;;;;;;;;;;
01082;Chanay;216;513,5;22664,8;;;;;;;;;;;;;;;;;;;;;;;
01083;Chaneins;318;861,5;22154,0;;;;;;;;;;;;;;;;;;;;;;;
01084;Chanoz-Châtenay;292;792,0;21323,9;;;;;;;;;;;;;;;;;;;;;;;
01085;La Chapelle-du-Châtelard;149;384,5;22413,8;;;;;;;;;;;;;;;;;;;;;;;
01087;Charix;118;289,5;22476,0;;;;;;;;;;;;;;;;;;;;;;;
01088;Charnoz-sur-Ain;327;945,5;24434,0;;;;;;;;;;;;;;;;;;;;;;;
01089;Château-Gaillard;737;2029,0;21614,2;62,7;;;;;;;;;;81,4;76,4;5,0;21,8;7,5;4,3;2,9;0,7;0,7;-15,0;2,5;12936,9;32249,5
01090;Châtenay;143;356,0;20505,0;;;;;;;;;;;;;;;;;;;;;;;
01091;Châtillon-en-Michaille;1259;3351,5;24916,9;61,4;9,2;;;;;;;;;82,4;78,3;4,1;19,9;10,2;2,6;1,6;0,5;0,5;-15,1;3,8;12437,6;47787,3
01092;Châtillon-la-Palud;601;1585,0;22144,7;;;;;;;;;;;;;;;;;;;;;;;
01093;Châtillon-sur-Chalaronne;2072;4587,0;20118,0;57,5;10,0;;;;;;;;16,8;66,6;61,9;4,7;31,9;12,3;4,7;2,4;1,0;1,3;-15,5;2,8;12101,0;34424,0
01094;Chavannes-sur-Reyssouze;304;767,5;20397,9;;;;;;;;;;;;;;;;;;;;;;;
01095;Chavannes-sur-Suran;269;664,0;19968,3;;;;;;;;;;;;;;;;;;;;;;;
01096;Chaveyriat;370;989,0;21338,7;;;;;;;;;;;;;;;;;;;;;;;
01097;Chavornay;95;219,0;20368,0;;;;;;;;;;;;;;;;;;;;;;;
01098;Chazey-Bons;342;864,5;20725,3;;;;;;;;;;;;;;;;;;;;;;;
01099;Chazey-sur-Ain;607;1498,0;23512,5;;;;;;;;;;;;;;;;;;;;;;;
01100;Cheignieu-la-Balme;70;137,0;19231,1;;;;;;;;;;;;;;;;;;;;;;;
01101;Chevillard;65;159,0;22004,5;;;;;;;;;;;;;;;;;;;;;;;
